task,instruction_type,instruction_text,rep,success,steps,latency_ms
Lift,orig,lift the red cube,0,0,399,415.12495099982516
Lift,orig,lift the red cube,1,0,399,437.51740899983815
Lift,orig,lift the red cube,2,0,399,467.21214649983267
Lift,orig,lift the red cube,3,0,399,407.0163770002182
Lift,orig,lift the red cube,4,0,399,428.75848599987876
Lift,orig,lift the red cube,5,0,399,405.4320045006534
Lift,orig,lift the red cube,6,0,399,414.0514890000304
Lift,orig,lift the red cube,7,0,399,417.0968379999067
Lift,orig,lift the red cube,8,0,399,430.4879055002857
Lift,orig,lift the red cube,9,0,399,416.86681250030233
Lift,para1,raise the red block,0,0,399,470.0245435001307
Lift,para1,raise the red block,1,0,399,516.4777720001439
Lift,para1,raise the red block,2,0,399,485.4889664993607
Lift,para1,raise the red block,3,0,399,471.84539949967075
Lift,para1,raise the red block,4,0,399,490.80199400032143
Lift,para1,raise the red block,5,0,399,491.9183870001689
Lift,para1,raise the red block,6,0,399,491.22615750002296
Lift,para1,raise the red block,7,0,399,513.7759280005412
Lift,para1,raise the red block,8,0,399,506.44723100049305
Lift,para1,raise the red block,9,0,399,489.29617350040644
Lift,para2,elevate the red cube,0,0,399,479.28989000047295
Lift,para2,elevate the red cube,1,0,399,474.44201600046654
Lift,para2,elevate the red cube,2,0,399,477.0430779999515
Lift,para2,elevate the red cube,3,0,399,368.4864064989597
Lift,para2,elevate the red cube,4,0,399,382.0197069999267
Lift,para2,elevate the red cube,5,0,399,425.975883999854
Lift,para2,elevate the red cube,6,0,399,416.8916349999563
Lift,para2,elevate the red cube,7,0,399,411.10376399956294
Lift,para2,elevate the red cube,8,0,399,428.14836250090593
Lift,para2,elevate the red cube,9,0,399,428.433361500538
Stack,orig,stack the red cube on the green platform,0,0,399,434.24758599940105
Stack,orig,stack the red cube on the green platform,1,0,399,453.02562400047464
Stack,orig,stack the red cube on the green platform,2,0,399,435.99818399979995
Stack,orig,stack the red cube on the green platform,3,0,399,437.99943449903367
Stack,orig,stack the red cube on the green platform,4,0,399,477.04841650011076
Stack,orig,stack the red cube on the green platform,5,0,399,492.06971200055705
Stack,orig,stack the red cube on the green platform,6,0,399,496.3373899990984
Stack,orig,stack the red cube on the green platform,7,0,399,437.6017240001602
Stack,orig,stack the red cube on the green platform,8,0,399,391.0476639994158
Stack,orig,stack the red cube on the green platform,9,0,399,389.85216050059535
Stack,para1,place the red block onto the green stand,0,0,399,381.9066155001565
Stack,para1,place the red block onto the green stand,1,0,399,384.2854860004081
Stack,para1,place the red block onto the green stand,2,0,399,379.43211950005207
Stack,para1,place the red block onto the green stand,3,0,399,379.2950175002261
Stack,para1,place the red block onto the green stand,4,0,399,388.1622494991461
Stack,para1,place the red block onto the green stand,5,0,399,390.7591790002698
Stack,para1,place the red block onto the green stand,6,0,399,388.2596500006912
Stack,para1,place the red block onto the green stand,7,0,399,384.0068874997087
Stack,para1,place the red block onto the green stand,8,0,399,384.23305949891073
Stack,para1,place the red block onto the green stand,9,0,399,385.33277599981375
Stack,para2,put the red cube on top of the green platform,0,0,399,382.6518615005625
Stack,para2,put the red cube on top of the green platform,1,0,399,379.83835999875737
Stack,para2,put the red cube on top of the green platform,2,0,399,377.648270001373
Stack,para2,put the red cube on top of the green platform,3,0,399,381.18897049935185
Stack,para2,put the red cube on top of the green platform,4,0,399,383.6114780006028
Stack,para2,put the red cube on top of the green platform,5,0,399,381.09402199916076
Stack,para2,put the red cube on top of the green platform,6,0,399,379.6838155012665
Stack,para2,put the red cube on top of the green platform,7,0,399,380.22927699967113
Stack,para2,put the red cube on top of the green platform,8,0,399,423.83986299864773
Stack,para2,put the red cube on top of the green platform,9,0,399,439.93846900048084
