episode,seed,inference,latency_ms
1,42,1,711.9283160000123
1,42,2,597.6436649998504
1,42,3,622.098570000162
1,42,4,640.0998879998951
1,42,5,650.2965120007502
1,42,6,637.718163999125
1,42,7,611.3068639997437
1,42,8,602.7745499995945
1,42,9,614.6037600001364
1,42,10,607.8248089997942
1,42,11,627.5488979999864
1,42,12,630.0038589997712
1,42,13,798.8869709997743
1,42,14,732.6515540007676
1,42,15,659.4957140005135
1,42,16,660.043881999627
1,42,17,607.409281999935
1,42,18,605.6943069997942
1,42,19,669.2355770001086
1,42,20,593.4444060003443
1,42,21,598.4999800002697
1,42,22,616.1716099995829
1,42,23,643.282122000528
1,42,24,607.1059910000258
1,42,25,601.8251949999467
1,42,26,616.4891790003821
1,42,27,608.6300720007785
1,42,28,599.0711570002532
1,42,29,614.8346939999101
1,42,30,603.7055750002764
1,42,31,612.3472599992965
1,42,32,605.3099520004253
1,42,33,605.0967009996384
1,42,34,609.1686709996793
1,42,35,642.6405769998382
1,42,36,614.647323999634
1,42,37,613.8198840008044
1,42,38,632.1527549998791
1,42,39,608.4031880000111
1,42,40,653.8542609996512
1,42,41,619.8805149997497
1,42,42,659.2723920002754
1,42,43,615.377088999594
1,42,44,599.4723209996664
1,42,45,610.0682359992788
1,42,46,612.1439329999703
1,42,47,635.2778130003571
1,42,48,601.2729270005366
1,42,49,597.7761539998028
1,42,50,612.5195009999516
1,42,51,624.7064870003669
1,42,52,608.8186480001241
1,42,53,606.6770490006093
1,42,54,608.4182049999072
1,42,55,612.0848729997306
1,42,56,634.0516790005495
1,42,57,602.9801129998305
1,42,58,601.0073699999339
1,42,59,622.9845480002041
1,42,60,599.4359790001909
1,42,61,606.3698709995151
1,42,62,621.342069000093
1,42,63,607.3909320002713
1,42,64,628.4357750000709
1,42,65,631.1960570001247
1,42,66,596.7520399999557
1,42,67,596.8117540005551
1,42,68,616.2910360008027
1,42,69,636.776497000028
1,42,70,626.8004079993261
1,42,71,636.5257770003154
1,42,72,660.8152550006707
1,42,73,655.2622589997554
1,42,74,598.5505579992605
1,42,75,619.357028000195
1,42,76,610.1766900001167
1,42,77,600.8085359999313
1,42,78,620.8148240002629
1,42,79,685.1342079999085
1,42,80,630.4982729998301
1,42,81,702.4186069993448
1,42,82,632.3170659998141
1,42,83,785.6315480003104
1,42,84,617.4181789992872
1,42,85,650.8483839998007
1,42,86,673.80203599987
1,42,87,700.3954510000767
1,42,88,604.9069429991505
1,42,89,616.9107289997555
1,42,90,607.0065450003312
1,42,91,607.8098969992425
