model,episode,success,steps,latency_ms
BC-50,1,0,400,3.060134500174172
BC-50,2,1,45,3.2460060001540114
BC-50,3,1,46,3.1415774999459245
BC-50,4,0,400,3.192053500242764
BC-50,5,0,400,3.1240639998486586
BC-50,6,1,48,3.0921785000828095
BC-50,7,1,47,3.0325309999170713
BC-50,8,1,54,3.2670305001829547
BC-50,9,0,400,3.0203339999843593
BC-50,10,1,58,3.159706500127868
BC-50,11,0,400,3.0870850000610517
BC-50,12,1,46,2.994346500145184
BC-50,13,1,40,2.9000710001128027
BC-50,14,1,40,3.199664000021585
BC-50,15,1,59,3.0240090000006603
BC-50,16,1,47,3.058043000237376
BC-50,17,1,48,2.9679909998776566
BC-50,18,1,52,3.0064010002206487
BC-50,19,0,400,3.1763319998390216
BC-50,20,1,42,3.2847244999629766
BC-50,21,0,400,3.4466084998712176
BC-50,22,1,46,3.357016999871121
BC-50,23,1,46,3.2725650000884343
BC-50,24,1,46,3.366492000168364
BC-50,25,1,42,3.2045760001437884
BC-50,26,1,49,3.23671199976161
BC-50,27,0,400,3.459850499893946
BC-50,28,1,45,3.172813000219321
BC-50,29,1,45,3.349933999743371
BC-50,30,1,47,3.22882499995103
BC-500,1,1,43,3.453693000210478
BC-500,2,0,400,3.413075500020568
BC-500,3,0,400,3.4047525000460155
BC-500,4,1,48,3.468314499968983
BC-500,5,0,400,3.475216000197179
BC-500,6,1,44,3.4575340000628785
BC-500,7,1,44,3.6052609998478147
BC-500,8,1,59,3.7182290002419904
BC-500,9,1,44,3.74228549981126
BC-500,10,1,55,3.3660070002952125
BC-500,11,1,52,3.3680720000575093
BC-500,12,1,91,3.435702999922796
BC-500,13,1,45,3.388219000044046
BC-500,14,1,72,3.637119999893912
BC-500,15,1,59,3.531753000061144
BC-500,16,1,42,3.8466625001092325
BC-500,17,1,49,3.704561000176909
BC-500,18,1,48,3.4035789997233223
BC-500,19,1,51,3.452780999850802
BC-500,20,1,47,3.8123770000311197
BC-500,21,1,42,3.5284020000290184
BC-500,22,1,52,3.4518819998083927
BC-500,23,1,46,3.34727299991755
BC-500,24,1,52,3.5027269998408883
BC-500,25,1,58,3.3037905000128376
BC-500,26,1,55,3.299689999948896
BC-500,27,1,55,3.303249000055075
BC-500,28,1,50,3.1907859997772903
BC-500,29,1,46,3.4528134999618487
BC-500,30,1,52,3.5581909999109484
