model,episode,seed,success,steps,latency_ms
BC-50,1,42,1,45,3.555026999947586
BC-50,2,43,0,400,2.9139280002254964
BC-50,3,44,1,51,3.3857129997159063
BC-50,4,45,1,45,3.3453490000283637
BC-50,5,46,1,44,3.501842000105171
BC-50,6,47,0,400,3.433268999970096
BC-50,7,48,1,42,3.510684000502806
BC-50,8,49,1,45,3.1699860001026536
BC-50,9,50,1,42,3.671120000035444
BC-50,10,51,1,48,3.290143499725673
BC-50,11,52,0,400,3.4806164999281464
BC-50,12,53,1,44,3.24142249974102
BC-50,13,54,0,400,3.3834989999377285
BC-50,14,55,0,400,3.4159655001531064
BC-50,15,56,1,46,3.54019500036884
BC-50,16,57,0,400,3.4274435006409476
BC-50,17,58,1,47,3.4059209992847173
BC-50,18,59,0,400,3.4223345001009875
BC-50,19,60,1,48,2.8329534998192685
BC-50,20,61,1,47,2.6706910002758377
BC-50,21,62,1,44,2.8566094997586333
BC-50,22,63,1,44,2.8942174994881498
BC-50,23,64,1,42,2.846242000032362
BC-50,24,65,1,46,2.883940499941673
BC-50,25,66,1,54,2.730966500166687
BC-50,26,67,1,45,2.8250820005268906
BC-50,27,68,1,44,2.749684500031435
BC-50,28,69,1,46,2.661659499608504
BC-50,29,70,1,42,2.5032440003087686
BC-50,30,71,1,50,2.7312434999657853
BC-50,31,72,0,400,2.713590499752172
BC-50,32,73,0,400,2.6355289996899955
BC-50,33,74,1,42,2.6213780001853593
BC-50,34,75,0,400,2.7431714997874224
BC-50,35,76,0,400,2.6593940001475858
BC-50,36,77,0,400,2.464885999870603
BC-50,37,78,1,44,2.6298815000700415
BC-50,38,79,1,46,2.672378499937622
BC-50,39,80,1,43,2.606197000204702
BC-50,40,81,1,47,2.6265859996783547
BC-50,41,82,1,49,2.727813000092283
BC-50,42,83,1,43,2.739354000368621
BC-50,43,84,1,79,2.6229600007354748
BC-50,44,85,0,400,2.593539500139741
BC-50,45,86,1,48,2.7162495002812648
