model,episode,seed,success,steps,latency_ms
BC-50,1,42,0,400,0.6215435000740399
BC-50,2,43,1,43,0.655711000035808
BC-50,3,44,1,45,0.6377269992299262
BC-50,4,45,1,44,0.6333974997687619
BC-50,5,46,1,44,0.6960939999771654
BC-50,6,47,1,44,0.6207834999258921
BC-50,7,48,1,42,0.9993050002776727
BC-50,8,49,1,46,0.6785850000596838
BC-50,9,50,0,400,0.6305334995886369
BC-50,10,51,1,45,0.6371620002028067
BC-50,11,52,1,45,0.6239049998839619
BC-50,12,53,0,400,0.6547335001414467
BC-50,13,54,1,49,0.6905789996380918
BC-50,14,55,1,46,0.6214495001586329
BC-50,15,56,0,400,0.637490000372054
BC-50,16,57,1,44,0.6570280002051732
BC-50,17,58,1,44,0.6574915005330695
BC-50,18,59,1,50,0.6402450003406557
BC-50,19,60,1,47,0.6601630002478487
BC-50,20,61,0,400,0.6555439999829105
BC-50,21,62,0,400,0.6375375000970962
BC-50,22,63,1,46,0.6510705002256145
BC-50,23,64,1,43,0.7586769997942611
BC-50,24,65,1,50,0.6777435000913101
BC-50,25,66,1,46,0.7478540001102374
BC-50,26,67,1,44,0.7095205000950955
BC-50,27,68,1,45,0.81991599927278
BC-50,28,69,1,51,1.01284099946497
BC-50,29,70,0,400,0.8082395002020348
BC-50,30,71,1,62,0.8053239998844219
BC-50,31,72,0,400,0.7794139996804006
BC-50,32,73,1,62,0.7437089998347801
BC-50,33,74,0,400,0.8001934997992066
BC-50,34,75,0,400,0.7256080002662202
BC-50,35,76,1,49,0.6331969998427667
BC-50,36,77,0,400,0.6513755001833488
BC-50,37,78,1,48,0.6785815003240714
BC-50,38,79,1,58,0.7532074996561278
BC-50,39,80,1,47,0.7847719998608227
BC-50,40,81,1,44,0.8476210000480933
BC-50,41,82,1,45,0.8014810000531725
BC-50,42,83,0,400,0.8038764995035308
BC-50,43,84,0,400,0.6339215001389675
BC-50,44,85,1,49,0.624291999884008
BC-50,45,86,1,43,0.6614520007133251
BC-50,46,87,0,400,0.6380775002980954
BC-50,47,88,1,59,0.6318779996945523
BC-50,48,89,0,400,0.6233200001588557
BC-50,49,90,1,45,0.6051079999451758
BC-50,50,91,1,47,0.6450040000345325
BC-50,51,92,1,48,0.70649399958711
BC-50,52,93,0,400,0.6216094993760635
BC-50,53,94,1,46,0.6771849998585822
BC-50,54,95,0,400,0.6287099995461176
BC-50,55,96,1,48,0.6034084999555489
BC-50,56,97,1,46,0.6199364997883094
BC-50,57,98,1,49,0.6584830007341225
BC-50,58,99,0,400,0.6361320001815329
BC-50,59,100,1,44,0.60259549991315
BC-50,60,101,1,44,0.6343439995362132
BC-50,61,102,1,49,0.6285540002863854
BC-50,62,103,1,44,0.7669665001230896
BC-50,63,104,0,400,0.7186904999798571
BC-50,64,105,1,50,0.633461500001431
BC-50,65,106,1,56,0.6701565002913412
BC-50,66,107,1,42,0.7961269998304488
BC-50,67,108,0,400,0.8504355000695796
BC-50,68,109,1,51,0.6879800002934644
BC-50,69,110,1,42,0.6401709997589933
BC-50,70,111,1,50,0.7166585000959458
BC-50,71,112,1,45,0.6407279997802107
BC-50,72,113,0,400,0.6746629996996489
BC-50,73,114,1,47,0.662544000078924
BC-50,74,115,1,44,0.6857934999970894
BC-50,75,116,1,50,0.5834634998791444
BC-50,76,117,1,46,0.6132369999249931
BC-50,77,118,0,400,0.6696860000374727
BC-50,78,119,0,400,0.6726700003127917
BC-50,79,120,1,43,0.6196350004756823
BC-50,80,121,1,49,0.6575469997187611
BC-50,81,122,1,48,0.6685770003969083
BC-50,82,123,0,400,0.7033464999040007
BC-50,83,124,0,400,0.6862040004307346
BC-50,84,125,0,400,0.684205000197835
BC-50,85,126,0,400,0.782510499448108
BC-50,86,127,1,52,0.6344204998640635
BC-50,87,128,1,42,0.7252750001498498
BC-50,88,129,1,43,0.6879689999550465
BC-50,89,130,1,50,0.6647034997513401
BC-50,90,131,0,400,0.6797290002396039
BC-50,91,132,1,45,0.6474869996964117
BC-50,92,133,1,46,0.6521819996123668
BC-50,93,134,0,400,0.697320499966736
BC-50,94,135,0,400,0.7060084999466198
