model,task,episode,seed,success,steps,median_latency_ms,mean_latency_ms
Square-BC-50,NutAssemblySquare,1,42,0,400,1.1404839997339877,1.6100787250570647
Square-BC-50,NutAssemblySquare,2,43,0,400,0.9759249987837393,1.0835033750618095
Square-BC-50,NutAssemblySquare,3,44,0,400,0.9722325003167498,1.0346012950094519
Square-BC-50,NutAssemblySquare,4,45,0,400,0.9734875002322951,1.0599982425082999
Square-BC-50,NutAssemblySquare,5,46,0,400,0.95267500000773,1.0116753250258625
Square-BC-50,NutAssemblySquare,6,47,0,400,0.9311589992648805,1.0033147949980048
Square-BC-50,NutAssemblySquare,7,48,0,400,0.9448395003346377,1.0053757224613946
Square-BC-50,NutAssemblySquare,8,49,0,400,0.9500425003352575,1.0056796074923113
Square-BC-50,NutAssemblySquare,9,50,0,400,0.9549625001454842,1.039899359957417
Square-BC-50,NutAssemblySquare,10,51,0,400,0.9506354999757605,0.9942417900037981
Square-BC-50,NutAssemblySquare,11,52,0,400,0.9741314997882,1.024938782497884
Square-BC-50,NutAssemblySquare,12,53,0,400,0.9292750000895467,0.974322904935434
Square-BC-50,NutAssemblySquare,13,54,0,400,0.9187805007968564,0.9716151125257966
Square-BC-50,NutAssemblySquare,14,55,0,400,1.0225019987046835,1.0886351674207617
Square-BC-50,NutAssemblySquare,15,56,0,400,1.0821969999597059,1.1662080725591295
Square-BC-50,NutAssemblySquare,16,57,0,400,0.9544099993945565,0.9793916900116528
Square-BC-50,NutAssemblySquare,17,58,0,400,1.0631360009938362,1.1472180375312746
Square-BC-50,NutAssemblySquare,18,59,0,400,1.1655360003715032,1.3191011975413858
Square-BC-50,NutAssemblySquare,19,60,0,400,1.398420000441547,1.6619418201071312
Square-BC-50,NutAssemblySquare,20,61,0,400,1.30788600017695,1.5367091325606452
Square-BC-50,NutAssemblySquare,21,62,0,400,1.1377664995961823,1.2683934949927789
Square-BC-50,NutAssemblySquare,22,63,0,400,1.6464915006508818,3.20421665502181
Square-BC-50,NutAssemblySquare,23,64,0,400,1.173167499473493,1.694638799999666
Square-BC-50,NutAssemblySquare,24,65,0,400,1.2215895003464539,1.4347946174575554
Square-BC-50,NutAssemblySquare,25,66,0,400,1.257272499060491,1.8805556200322826
Square-BC-50,NutAssemblySquare,26,67,0,400,1.124351500038756,1.2696776525172027
Square-BC-50,NutAssemblySquare,27,68,0,400,1.1568520003493177,1.2841517500237387
Square-BC-50,NutAssemblySquare,28,69,0,400,1.1426684995967662,1.2318057800212046
Square-BC-50,NutAssemblySquare,29,70,0,400,1.1316544996589073,1.316612785030884
Square-BC-50,NutAssemblySquare,30,71,0,400,1.1324540000714478,1.353550695021113
Square-BC-50,NutAssemblySquare,31,72,0,400,1.364205500067328,1.9035930725749495
Square-BC-50,NutAssemblySquare,32,73,0,400,1.1993990001428756,1.4258112874767903
Square-BC-50,NutAssemblySquare,33,74,0,400,1.3676110002052155,1.9605278224207723
Square-BC-50,NutAssemblySquare,34,75,0,400,1.2552784992294619,1.5383981174545625
Square-BC-50,NutAssemblySquare,35,76,0,400,1.3911534997532726,1.874756229981358
Square-BC-50,NutAssemblySquare,36,77,0,400,1.1376475003999076,1.5852093199873707
Square-BC-50,NutAssemblySquare,37,78,0,400,1.0145394999199198,1.093438284979129
Square-BC-50,NutAssemblySquare,38,79,0,400,1.2002825005765771,1.471855477493591
Square-BC-50,NutAssemblySquare,39,80,0,400,1.1256509997110697,1.1951491450008689
Square-BC-50,NutAssemblySquare,40,81,0,400,1.2016415003017755,1.3456183099560803
Square-BC-50,NutAssemblySquare,41,82,0,400,1.1371319997124374,1.1995163775236506
Square-BC-50,NutAssemblySquare,42,83,0,400,1.0729930008892552,1.1496097424560503
Square-BC-50,NutAssemblySquare,43,84,0,400,0.9907855001074495,1.0535644499532282
Square-BC-50,NutAssemblySquare,44,85,0,400,1.040863500747946,1.0820712525355702
Square-BC-50,NutAssemblySquare,45,86,0,400,0.9931135000442737,1.060846840045997
Square-BC-50,NutAssemblySquare,46,87,0,400,1.0784969999804161,1.1906751024525875
Square-BC-50,NutAssemblySquare,47,88,0,400,1.0314344999642344,1.0699438549818296
Square-BC-50,NutAssemblySquare,48,89,0,400,1.0341069992136909,1.0868215100026646
Square-BC-50,NutAssemblySquare,49,90,0,400,0.9516384998278227,0.9957138174468128
Square-BC-50,NutAssemblySquare,50,91,0,400,0.9520840003460762,0.9949589899724742
Square-BC-50,NutAssemblySquare,51,92,0,400,0.960319999649073,1.0056253374978041
Square-BC-50,NutAssemblySquare,52,93,0,400,0.9238394995918497,0.9624172850590185
Square-BC-50,NutAssemblySquare,53,94,0,400,0.9506224996584933,1.0103610274836683
Square-BC-50,NutAssemblySquare,54,95,0,400,0.9334694996141479,0.979106147501625
Square-BC-50,NutAssemblySquare,55,96,0,400,0.9161904999928083,0.9455296549822378
Square-BC-50,NutAssemblySquare,56,97,0,400,0.9328369997092523,0.9827087025041692
Square-BC-50,NutAssemblySquare,57,98,0,400,0.9241474999726051,0.9612719374717926
Square-BC-50,NutAssemblySquare,58,99,0,400,0.9557875000609783,1.013969290015666
Square-BC-50,NutAssemblySquare,59,100,0,400,0.9011579995785723,0.9973246575282246
Square-BC-50,NutAssemblySquare,60,101,0,400,0.9420319993296289,0.9855615149945152
Square-BC-50,NutAssemblySquare,61,102,0,400,0.9392120000484283,0.9735117775153412
Square-BC-50,NutAssemblySquare,62,103,0,400,0.9313004993600771,0.9824916499610481
Square-BC-50,NutAssemblySquare,63,104,0,400,0.9543044998281403,0.9929236375228356
Square-BC-50,NutAssemblySquare,64,105,0,400,0.9463090000281227,0.9761562400535695
Square-BC-50,NutAssemblySquare,65,106,0,400,1.1083919998782221,1.1109430850501667
Square-BC-50,NutAssemblySquare,66,107,0,400,0.9643365001466009,1.0112846774836726
Square-BC-50,NutAssemblySquare,67,108,0,400,0.9399229993505287,1.1113322274650272
Square-BC-50,NutAssemblySquare,68,109,0,400,0.9461144991291803,0.9927023349928277
Square-BC-50,NutAssemblySquare,69,110,0,400,0.9636960003263084,1.0054409450003732
Square-BC-50,NutAssemblySquare,70,111,0,400,0.967695999861462,1.0166789449795033
Square-BC-50,NutAssemblySquare,71,112,0,400,0.9668629991210764,1.0142775024223738
Square-BC-50,NutAssemblySquare,72,113,0,400,0.9431815005882527,1.0184190299742113
Square-BC-50,NutAssemblySquare,73,114,0,400,0.950309500694857,1.0049729575075617
Square-BC-50,NutAssemblySquare,74,115,0,400,0.9163400000034017,0.949306807560788
Square-BC-50,NutAssemblySquare,75,116,0,400,0.9418795007150038,0.9794543950283696
Square-BC-50,NutAssemblySquare,76,117,0,400,0.9467910012972425,0.9742472025618554
Square-BC-50,NutAssemblySquare,77,118,0,400,0.925906999327708,0.9622444924752926
Square-BC-50,NutAssemblySquare,78,119,0,400,0.9482450004725251,0.9890451925639354
Square-BC-50,NutAssemblySquare,79,120,0,400,0.9327104990006774,0.9668993225068334
Square-BC-50,NutAssemblySquare,80,121,0,400,0.9232800002791919,0.9779924424674391
Square-BC-50,NutAssemblySquare,81,122,0,400,1.0300405001544277,1.104553175005094
Square-BC-50,NutAssemblySquare,82,123,0,400,0.9236679998139152,0.9621613250783412
Square-BC-50,NutAssemblySquare,83,124,0,400,0.9487634997640271,0.9920390349861918
Square-BC-50,NutAssemblySquare,84,125,0,400,0.9489249996477156,0.9766028224976253
Square-BC-50,NutAssemblySquare,85,126,0,400,0.9422980010640458,0.9831156449490663
Square-BC-50,NutAssemblySquare,86,127,0,400,0.9417479996045586,1.0312879975390388
Square-BC-50,NutAssemblySquare,87,128,0,400,0.9775474991329247,1.0115554750245792
Square-BC-50,NutAssemblySquare,88,129,0,400,0.943236000239267,0.991934140020021
Square-BC-50,NutAssemblySquare,89,130,0,400,0.9751870002219221,1.003390432465494
Square-BC-50,NutAssemblySquare,90,131,0,400,0.9507754994046991,1.0012799050127796
Square-BC-50,NutAssemblySquare,91,132,0,400,0.9461674990234314,0.9765139049341087
Square-BC-50,NutAssemblySquare,92,133,0,400,1.094859499062295,1.120960709999963
Square-BC-50,NutAssemblySquare,93,134,0,400,0.9591215002728859,1.007667504982237
Square-BC-50,NutAssemblySquare,94,135,0,400,0.9720994994495413,1.0168666674553606
Square-BC-50,NutAssemblySquare,95,136,0,400,0.9440764997634687,0.9838280125177334
Square-BC-50,NutAssemblySquare,96,137,0,400,0.9192289999191416,0.9720115124537188
Square-BC-50,NutAssemblySquare,97,138,0,400,0.9449480003240751,0.9892209975396327
Square-BC-50,NutAssemblySquare,98,139,0,400,0.906806999410037,0.9486513700358046
Square-BC-50,NutAssemblySquare,99,140,0,400,0.90748850016098,0.9381914750201759
Square-BC-50,NutAssemblySquare,100,141,0,400,0.9408784999322961,0.9651207375236481
Square-BC-500,NutAssemblySquare,1,42,0,400,0.9472635001657181,0.9783813875355918
Square-BC-500,NutAssemblySquare,2,43,0,400,0.9313530008512316,0.9724431924860255
Square-BC-500,NutAssemblySquare,3,44,0,400,0.9131480001087766,0.9605780675610731
Square-BC-500,NutAssemblySquare,4,45,0,400,1.1169905001224834,1.1890537300041615
Square-BC-500,NutAssemblySquare,5,46,0,400,0.9926615002768813,1.035461495052914
