seed,instruction_index,instruction_type,instruction,action_l2_difference_from_base,action_cosine_similarity_to_base,dx,dy,dz,rx,ry,rz,gripper
42,0,base,lift the red cube,0.0,0.9999999999999998,0.17939314246177673,-0.0025194271001964808,-0.15420591831207275,0.0037093099672347307,0.0025262346025556326,0.0016960655339062214,0.9977450370788574
42,1,paraphrase,pick up the red cube,0.002959975484648048,0.9999958352715045,0.18012335896492004,-0.0025522620417177677,-0.15696923434734344,0.003769013797864318,0.002853545593097806,0.0019925294909626245,0.9971184134483337
42,2,paraphrase,raise the red cube,0.000683088821059013,0.9999998027756106,0.17981158196926117,-0.002400823403149843,-0.15377621352672577,0.003690574085339904,0.002503864001482725,0.0015140414470806718,0.9975025057792664
42,3,paraphrase,grasp and lift the red cube,0.0006514295985400811,0.9999998908275481,0.17906828224658966,-0.002511175349354744,-0.15434324741363525,0.003599239978939295,0.0028377666603773832,0.0015655049355700612,0.9973282814025879
42,4,paraphrase,lift the cube,0.002316601781071057,0.999998901346615,0.1783103346824646,-0.002060382626950741,-0.15281957387924194,0.003582076635211706,0.0028044148348271847,0.001498093013651669,0.9963562488555908
42,5,paraphrase,pick up the cube,0.004331006823423417,0.9999917187607159,0.17911630868911743,-0.0016245250590145588,-0.1579779088497162,0.0036340795923024416,0.0030618959572166204,0.0022685553412884474,0.9960038065910339
42,6,paraphrase,raise the cube,0.002990610327445535,0.9999963663648733,0.17826296389102936,-0.002008243929594755,-0.15154603123664856,0.0036365133710205555,0.002592391800135374,0.0017332296120002866,0.997180163860321
42,7,paraphrase,grab the red cube,0.004811335326116336,0.9999889927037992,0.18016810715198517,-0.002257557353004813,-0.1588456928730011,0.0038532789330929518,0.0027570202946662903,0.0019048788817599416,0.9968314170837402
42,8,paraphrase,take the red cube off the table,0.005758356854947601,0.9999854296749532,0.17933131754398346,-0.0029729949310421944,-0.14852319657802582,0.00382026145234704,0.0023838949855417013,0.0015358097152784467,0.9969720244407654
42,9,paraphrase,move the red cube upward,0.004958426595568284,0.9999903249821412,0.17989729344844818,-0.0015783621929585934,-0.15791107714176178,0.003789242124184966,0.0030873536597937346,0.0004417958261910826,0.9949479699134827
42,10,paraphrase,elevate the red cube,0.0013566727786615766,0.999999200763443,0.18046243488788605,-0.0024268508423119783,-0.1546318233013153,0.003719199215993285,0.0023156055249273777,0.001576462760567665,0.9970753788948059
43,0,base,lift the red cube,0.0,1.0,0.16712284088134766,-0.004374774172902107,-0.1698291003704071,0.0028076875023543835,0.006033902056515217,0.0023938703816384077,0.9956214427947998
43,1,paraphrase,pick up the red cube,0.004974401219039052,0.9999888350267736,0.16819992661476135,-0.003899873234331608,-0.17465202510356903,0.002857500920072198,0.00625609140843153,0.002254272112622857,0.9957860112190247
43,2,paraphrase,raise the red cube,0.0028719725351476627,0.9999966687821787,0.16794121265411377,-0.004010813310742378,-0.17248930037021637,0.0027466530445963144,0.006181617733091116,0.0022194182965904474,0.9961812496185303
43,3,paraphrase,grasp and lift the red cube,0.002506415210864442,0.999997779478941,0.1672644317150116,-0.0038578154053539038,-0.17208902537822723,0.0027264440432190895,0.006300612818449736,0.002350088208913803,0.9965202808380127
43,4,paraphrase,lift the cube,0.0027442255846703836,0.9999966046581722,0.1674499660730362,-0.003766675479710102,-0.1672568917274475,0.0027204002253711224,0.006310685537755489,0.0029159407131373882,0.9953369498252869
43,5,paraphrase,pick up the cube,0.0024520627702823935,0.9999972519361559,0.16794312000274658,-0.003196501638740301,-0.17166085541248322,0.002774203661829233,0.006462083663791418,0.0030325071420520544,0.995682954788208
43,6,paraphrase,raise the cube,0.0008886322454445773,0.9999996344724777,0.16725684702396393,-0.003925366792827845,-0.16917698085308075,0.0027151787653565407,0.00633817445486784,0.002590096788480878,0.9955518841743469
43,7,paraphrase,grab the red cube,0.006025085944653967,0.9999839499190492,0.16813404858112335,-0.0035245129838585854,-0.17568057775497437,0.0028516293969005346,0.006248636171221733,0.0021928632631897926,0.9960988759994507
43,8,paraphrase,take the red cube off the table,0.008692455713155895,0.9999639538742797,0.16742663085460663,-0.005422343499958515,-0.16134284436702728,0.002584728877991438,0.0064755151979625225,0.0017917263321578503,0.9969425201416016
43,9,paraphrase,move the red cube upward,0.004138432892780809,0.9999921505477432,0.16895191371440887,-0.0031043770723044872,-0.17327454686164856,0.0027888554614037275,0.006501080002635717,0.002123056910932064,0.9955569505691528
43,10,paraphrase,elevate the red cube,0.0016058963054889734,0.9999992446629867,0.16823585331439972,-0.00426000589504838,-0.17075856029987335,0.0027901246212422848,0.006039685104042292,0.002365162130445242,0.9963010549545288
44,0,base,lift the red cube,0.0,1.0,0.17494270205497742,-0.0036850294563919306,-0.15591245889663696,0.0029177467804402113,0.0034260700922459364,0.0037579373456537724,0.9936806559562683
44,1,paraphrase,pick up the red cube,0.006486500149443069,0.9999824520220142,0.1762041598558426,-0.0038789822719991207,-0.16214552521705627,0.0030466546304523945,0.003833654336631298,0.003546386491507292,0.9948499202728271
44,2,paraphrase,raise the red cube,0.0006572657085178916,0.9999998344820892,0.17514419555664062,-0.003806900465860963,-0.15623027086257935,0.0028861595783382654,0.003427920863032341,0.0034054412972182035,0.9932929873466492
44,3,paraphrase,grasp and lift the red cube,0.003268797470118769,0.9999952045101372,0.17485462129116058,-0.003788350149989128,-0.15913744270801544,0.0028585074469447136,0.003724675392732024,0.0035340723115950823,0.9940317869186401
44,4,paraphrase,lift the cube,0.0014662949608148757,0.9999997413825704,0.17476125061511993,-0.0030994401313364506,-0.15564078092575073,0.0028672644402831793,0.0036219924222677946,0.004141310229897499,0.9924508333206177
44,5,paraphrase,pick up the cube,0.007248078500663077,0.9999754016641399,0.17552490532398224,-0.003389521036297083,-0.1630905568599701,0.002957017393782735,0.004134343005716801,0.004008222371339798,0.9935486316680908
44,6,paraphrase,raise the cube,0.0024303143457848897,0.9999986282012071,0.1738096922636032,-0.0032344707287847996,-0.15430960059165955,0.0028882347978651524,0.0034999442286789417,0.003949104342609644,0.9923361539840698
44,7,paraphrase,grab the red cube,0.006067369790906319,0.9999857855821389,0.1766059696674347,-0.0036546194460242987,-0.16152967512607574,0.0030800229869782925,0.0036409180611371994,0.003609479172155261,0.995229184627533
44,8,paraphrase,take the red cube off the table,0.009324125528305,0.9999638556019211,0.17476136982440948,-0.0046540554612874985,-0.14690421521663666,0.002813821192830801,0.003526705550029874,0.0032463036477565765,0.9915508031845093
44,9,paraphrase,move the red cube upward,0.005297947668927829,0.999986537111062,0.17534807324409485,-0.003486795350909233,-0.16096098721027374,0.002962301019579172,0.004202173091471195,0.0027281169313937426,0.9928367733955383
44,10,paraphrase,elevate the red cube,0.0018215147564747713,0.9999989740541247,0.176229789853096,-0.0037818201817572117,-0.15689314901828766,0.0029015785548835993,0.0034253241028636694,0.0033695134334266186,0.9944148659706116
45,0,base,lift the red cube,0.0,0.9999999999999998,0.1675291210412979,-0.005435858387500048,-0.159369558095932,0.0031549835111945868,0.007839463651180267,-0.01668606512248516,0.9971944093704224
45,1,paraphrase,pick up the red cube,0.004623052917275294,0.9999903568021076,0.16826589405536652,-0.005075337830930948,-0.16369259357452393,0.003171514021232724,0.007951680570840836,-0.015303164720535278,0.997487485408783
45,2,paraphrase,raise the red cube,0.0008633344258584347,0.9999996491793134,0.16776268184185028,-0.004819205030798912,-0.1591394543647766,0.003082076320424676,0.008139291778206825,-0.017073607072234154,0.9970840215682983
45,3,paraphrase,grasp and lift the red cube,0.0033179772241704306,0.9999958032637393,0.16745929419994354,-0.0048688966780900955,-0.16149745881557465,0.0030427405145019293,0.007870852947235107,-0.01453392207622528,0.9984229803085327
45,4,paraphrase,lift the cube,0.0030596043437100657,0.9999958351788366,0.16787196695804596,-0.005859547294676304,-0.16158553957939148,0.0030609520617872477,0.00780654139816761,-0.015048856846988201,0.9959847927093506
45,5,paraphrase,pick up the cube,0.007847725142061682,0.9999722482875785,0.16763681173324585,-0.0049314191564917564,-0.16613654792308807,0.003055406967177987,0.007874218747019768,-0.012829842045903206,0.9979987740516663
45,6,paraphrase,raise the cube,0.0025951059801448463,0.9999974901515871,0.16640374064445496,-0.005347764119505882,-0.1610659807920456,0.003082056762650609,0.00808697659522295,-0.01580631360411644,0.9958745837211609
45,7,paraphrase,grab the red cube,0.0033959349508159192,0.9999956380803978,0.16790543496608734,-0.004656871315091848,-0.16236698627471924,0.0033085313625633717,0.008159034885466099,-0.015928899869322777,0.9982433915138245
45,8,paraphrase,take the red cube off the table,0.007937415158196683,0.9999717115641245,0.16627980768680573,-0.007236747071146965,-0.15178611874580383,0.003171271877363324,0.008298437111079693,-0.016972726210951805,0.9965643882751465
45,9,paraphrase,move the red cube upward,0.0018115940031053325,0.999998922242506,0.16770024597644806,-0.004231931641697884,-0.15951424837112427,0.003223363310098648,0.008593489415943623,-0.016798781231045723,0.996100664138794
45,10,paraphrase,elevate the red cube,0.0026938067747942452,0.9999966257805838,0.16806438565254211,-0.004568294622004032,-0.15702937543392181,0.0031337852124124765,0.008227500133216381,-0.016972443088889122,0.9979071021080017
46,0,base,lift the red cube,0.0,1.0000000000000002,0.18234026432037354,-0.00014099650434218347,-0.09787947684526443,0.002605510177090764,0.011539879254996777,0.006489798426628113,0.9955530166625977
46,1,paraphrase,pick up the red cube,0.00838461878418028,0.9999660925645083,0.18287448585033417,-0.00024909363128244877,-0.1062253937125206,0.0026812003925442696,0.011373376473784447,0.006452593486756086,0.9949912428855896
46,2,paraphrase,raise the red cube,0.011574138315494262,0.9999356469813758,0.18252471089363098,-0.0003630572173278779,-0.10939056426286697,0.00256143044680357,0.010502630844712257,0.006062325090169907,0.9952188730239868
46,3,paraphrase,grasp and lift the red cube,0.01295332885848818,0.9999195340645826,0.18185047805309296,-0.0005424197879619896,-0.11074712127447128,0.0025506499223411083,0.01048560906201601,0.005665065720677376,0.9954236149787903
46,4,paraphrase,lift the cube,0.005093849690328073,0.9999874771386803,0.18079929053783417,0.00013744243187829852,-0.10270068794488907,0.002539822831749916,0.011601997539401054,0.006263274699449539,0.9951152801513672
46,5,paraphrase,pick up the cube,0.012737003887939682,0.9999219822556814,0.18139876425266266,-0.00012279396469239146,-0.11057814955711365,0.0025687196757644415,0.011593975126743317,0.00655051413923502,0.9952697157859802
46,6,paraphrase,raise the cube,0.012606200565866884,0.9999232551060573,0.1805955171585083,-0.00028474570717662573,-0.11032623797655106,0.002554846229031682,0.010918134823441505,0.006071830168366432,0.9949482083320618
46,7,paraphrase,grab the red cube,0.015751768744804738,0.9998808887374145,0.18217718601226807,-0.00047556363278999925,-0.11360190808773041,0.0026663916651159525,0.010894078761339188,0.006030290853232145,0.9951619505882263
46,8,paraphrase,take the red cube off the table,0.005642301931510567,0.9999847264895825,0.17963360249996185,-0.00040565765812061727,-0.1026519313454628,0.0026606498286128044,0.01093086414039135,0.005477820988744497,0.9960679411888123
46,9,paraphrase,move the red cube upward,0.0323986080813381,0.9994961175206853,0.1809931993484497,-0.00067315244814381,-0.1300733983516693,0.0025826420169323683,0.009095271117985249,0.004493913613259792,0.994474470615387
46,10,paraphrase,elevate the red cube,0.008537457956715306,0.9999652640643755,0.18298715353012085,-0.0005781323416158557,-0.1063304990530014,0.0025885896757245064,0.010821234434843063,0.005905951838940382,0.9955883026123047
47,0,base,lift the red cube,0.0,1.0,0.16200071573257446,0.0030393193010240793,-0.166825532913208,0.003208552487194538,0.0064495219849050045,0.018633965402841568,1.0097895860671997
47,1,paraphrase,pick up the red cube,0.00251358053646014,0.9999973174150412,0.16412746906280518,0.0021633075084537268,-0.16761140525341034,0.0032859069760888815,0.006602221634238958,0.019184209406375885,1.0100687742233276
47,2,paraphrase,raise the red cube,0.0030727982786166374,0.9999956062894354,0.16285906732082367,0.003429104806855321,-0.16396860778331757,0.003103785216808319,0.0064943283796310425,0.019192827865481377,1.0100466012954712
47,3,paraphrase,grasp and lift the red cube,0.003523404194265336,0.9999946822149377,0.16388413310050964,0.0019447535742074251,-0.16493263840675354,0.003078054403886199,0.006672110874205828,0.01692871004343033,1.0108438730239868
47,4,paraphrase,lift the cube,0.0019162075301314982,0.9999983480567125,0.16277453303337097,0.00343583757057786,-0.16775549948215485,0.0031641831155866385,0.006856382824480534,0.017410745844244957,1.0091673135757446
47,5,paraphrase,pick up the cube,0.002675510987803788,0.9999970999095266,0.1635212004184723,0.002330182120203972,-0.16794106364250183,0.0031707496382296085,0.0067103272303938866,0.016994668170809746,1.0103747844696045
47,6,paraphrase,raise the cube,0.0015556430435530956,0.9999993001716402,0.16186298429965973,0.00384485418908298,-0.1659775823354721,0.00310458499006927,0.006864443421363831,0.018210094422101974,1.0089707374572754
47,7,paraphrase,grab the red cube,0.0025467315483986707,0.9999970635595417,0.16219308972358704,0.0027835334185510874,-0.16736750304698944,0.0033632421400398016,0.006606647279113531,0.021078044548630714,1.0100494623184204
47,8,paraphrase,take the red cube off the table,0.006151650539121614,0.999984156655657,0.16103146970272064,0.0028553330339491367,-0.1612178236246109,0.00330420583486557,0.007290738169103861,0.02056177519261837,1.0087946653366089
47,9,paraphrase,move the red cube upward,0.0034152093093020672,0.9999950129516743,0.161113440990448,0.004397417418658733,-0.16617774963378906,0.003310956060886383,0.0071291192434728146,0.021366430446505547,1.0089688301086426
47,10,paraphrase,elevate the red cube,0.0030113050658243995,0.9999958995446065,0.16402439773082733,0.0021715068724006414,-0.16500823199748993,0.00314121856354177,0.006445539183914661,0.0178243275731802,1.0102964639663696
48,0,base,lift the red cube,0.0,1.0000000000000002,0.16839072108268738,0.0007356202695518732,-0.1611805558204651,0.0049507152289152145,0.004846593830734491,0.00872480496764183,0.9969695210456848
48,1,paraphrase,pick up the red cube,0.004855722679884087,0.99998934204813,0.17048980295658112,0.00025444276980124414,-0.1655198633670807,0.0048283180221915245,0.005134275183081627,0.008822289295494556,0.9970289468765259
