instruction_index,instruction_type,instruction,seeds,mean_action_l2_difference_from_base,median_action_l2_difference_from_base,mean_action_cosine_similarity_to_base,minimum_action_cosine_similarity_to_base
0,base,lift the red cube,10,0.0,0.0,1.0,0.9999999999999998
1,paraphrase,pick up the red cube,10,0.00523692414761809,0.0047393877985796905,0.9999848870143664,0.999945308861525
2,paraphrase,raise the red cube,10,0.006793492104123794,0.001421175774570362,0.9999062092761146,0.9991358022387049
3,paraphrase,grasp and lift the red cube,10,0.005489587406112731,0.0032933873471445996,0.9999775370126095,0.9999195340645826
4,paraphrase,lift the cube,10,0.003636683947948609,0.0029019149641902244,0.9999921926155393,0.9999505441144159
5,paraphrase,pick up the cube,10,0.005995674068380269,0.0060744296467222895,0.9999792240853212,0.9999219822556814
6,paraphrase,raise the cube,10,0.004196085576735705,0.002547208934911332,0.999986213004368,0.9999232551060573
7,paraphrase,grab the red cube,10,0.006366736580010503,0.0051405945835438,0.9999755551740181,0.9998808887374145
8,paraphrase,take the red cube off the table,10,0.009169784120142167,0.00812047045305268,0.9999474753637572,0.9996769141130517
9,paraphrase,move the red cube upward,10,0.016635179870076493,0.004578368857681163,0.9996362417787541,0.9972296056513822
10,paraphrase,elevate the red cube,10,0.004030306263641004,0.0028525559203093223,0.9999898966937604,0.9999652640643755
