step,reward,success,latency_ms,eef_x,eef_y,eef_z,nut_x,nut_y,nut_z,eef_nut_distance,action_dx,action_dy,action_dz,action_rx,action_ry,action_rz,action_gripper
1,0.0040133407607339635,0,74.0535550000061,-0.09826773524941408,0.003934124816885597,1.0102820855650485,-0.11120956105671527,0.1507704862897102,0.8782523388503831,0.1978895194883833,0.16312438249588013,0.11154566705226898,0.042731113731861115,0.00569466408342123,0.12254214286804199,0.038336481899023056,-0.9962319135665894
2,0.0025264237489226685,0,1.2241969999990943,-0.09843736063328959,0.006192616362955653,1.0087950199462816,-0.11120953500452484,0.1507704814383089,0.8422845175908216,0.2208882860239174,0.16115093231201172,0.2195902317762375,-0.04436773806810379,0.006672352086752653,0.12250290811061859,0.029898781329393387,-0.999891459941864
3,0.0020207261767222983,0,0.8110260000080416,-0.09672097198468442,0.010234356863890794,1.0065808917145258,-0.11121030558176961,0.15077062493409282,0.8222350578369986,0.23225798134657974,0.35698071122169495,0.5294971466064453,-0.1484082192182541,-0.0016548059647902846,0.11280089616775513,0.03885025531053543,-1.0
4,0.0024286594718091583,0,1.0779719999902682,-0.09298899835462474,0.01579736071648383,1.003547626611401,-0.11121132138375109,0.15077081409527385,0.8260445308020253,0.22373474293342688,0.46882057189941406,0.6485095620155334,-0.1904093623161316,-0.00643922807648778,0.11253134161233902,0.010707874782383442,-1.0
5,0.002890246213481995,0,1.4653089999967506,-0.08820653474461544,0.022241694625332684,1.0000732917070938,-0.11121194541109297,0.150770930300746,0.8280573065304366,0.215959515880952,0.4630092978477478,0.6395601630210876,-0.2260141670703888,-0.006678938400000334,0.10256140679121017,0.010913814418017864,-1.0
6,0.0034153504868391195,0,1.5465090000077453,-0.08291317556097408,0.029253236201621943,0.9963315721935286,-0.11121228463038679,0.15077099346967393,0.8290401016066736,0.20869557023734905,0.4641335606575012,0.6374645829200745,-0.26597777009010315,-0.007299617864191532,0.09261822700500488,0.004563016816973686,-1.0
7,0.004026661141660603,0,1.281728999998677,-0.07729352313470998,0.036658285754482156,0.9923117333941891,-0.11121245160681847,0.15077102456378447,0.8295147360039338,0.2016806218419084,0.46282142400741577,0.6312255859375,-0.29919248819351196,-0.0075736274011433125,0.08307290077209473,-0.0009259131620638072,-1.0
8,0.004742355173345536,0,1.264108000015085,-0.0715026645587051,0.044304405882451374,0.9880128967519691,-0.1112125312538484,0.1507710393955396,0.8297477577618269,0.194832933007039,0.4565635025501251,0.6185585856437683,-0.32795771956443787,-0.007752045523375273,0.0737995058298111,-0.004265442490577698,-1.0
9,0.005578125390972799,0,1.2906580000162649,-0.06567279464056892,0.05203661972728374,0.9834083820129904,-0.11121257024936862,0.15077104665722915,0.8298635365902832,0.1881445661707178,0.4429244101047516,0.6004671454429626,-0.360046923160553,-0.007910043932497501,0.06426799297332764,-0.006338552571833134,-1.0
10,0.006548365281049018,0,1.742887999995446,-0.05992534708700986,0.05973212467140987,0.9784816452239368,-0.11121258952371273,0.15077105024646972,0.8299212852772511,0.18162777252972973,0.4237283766269684,0.5778830051422119,-0.38830214738845825,-0.007822378538548946,0.05568615719676018,-0.006051863078027964,-1.0
11,0.007663228066212103,0,1.1207699999999932,-0.05434990276077983,0.06728198870233833,0.9732491138513075,-0.11121259907983382,0.15077105202599683,0.8299501279741519,0.17532367005272295,0.40146517753601074,0.5518890619277954,-0.4136393666267395,-0.007340556476265192,0.047512345016002655,-0.0066925049759447575,-1.0
12,0.00892908663275438,0,1.374343999998473,-0.04904458768898492,0.07460505118617476,0.9677485342220575,-0.1112126038230002,0.1507710529092624,0.829964541019854,0.169264735935355,0.3719122111797333,0.5214161276817322,-0.43333700299263,-0.0060044233687222,0.04047369956970215,-0.007108466234058142,-1.0
13,0.010349502297234659,0,2.3315660000093885,-0.04409358368665491,0.08162660278349958,0.962017992250926,-0.11121260617833097,0.1507710533478687,0.8299717450042527,0.16346904794491268,0.33777397871017456,0.48793208599090576,-0.4519922137260437,-0.004782645031809807,0.03400396555662155,-0.005910515785217285,-1.0
14,0.011747271505102064,0,1.104451000003337,-0.040256918109966316,0.08680500151340907,0.9564506147852887,-0.11121260734816055,0.15077105356571266,0.8299753460971736,0.15850034460579607,0.08255292475223541,0.23299528658390045,-0.47089219093322754,-0.0008978040423244238,-0.0014455009950324893,-0.06720349192619324,-1.0
15,0.013143729878657907,0,1.233944000006204,-0.037499087674356564,0.0907526449037766,0.951120821490735,-0.11121260792923787,0.15077105367392,0.8299771462823251,0.1539859815134726,0.0671544224023819,0.21045231819152832,-0.46347299218177795,0.00024215318262577057,-0.004688604734838009,-0.061509907245635986,-1.0
16,0.014652422477665539,0,1.379640999999765,-0.0353749245429226,0.09427088465121343,0.9457727354812892,-0.11121259529999623,0.15077105132212087,0.8299782405892434,0.1495058065327318,0.05332007631659508,0.19146119058132172,-0.45465826988220215,0.0015231750439852476,-0.007200750056654215,-0.055818527936935425,-1.0
17,0.016281675404153307,0,1.4721709999889754,-0.033732643883797014,0.09741134376448866,0.9404173540863507,-0.11121260099348876,0.15077105238235483,0.8299786070540083,0.14507625272103283,0.04044405370950699,0.17267698049545288,-0.44195830821990967,0.002180771203711629,-0.010159113444387913,-0.05031149089336395,-1.0
18,0.018008076918745432,0,1.3123680000148852,-0.03244986266106062,0.10018538678541927,0.935149364627758,-0.11121261580252012,0.15077105514007128,0.8299788031614278,0.1407953412739657,0.02736084908246994,0.15331725776195526,-0.4249282777309418,0.001804834115318954,-0.013586224988102913,-0.04319663345813751,-1.0
19,0.01981156144801981,0,2.4722020000069733,-0.03146244009177965,0.10260328982239036,0.9300234869653408,-0.11121262593559307,0.15077105702703755,0.8299792593774016,0.1367079859162267,0.016566136851906776,0.1348288357257843,-0.40719422698020935,0.0012638189364224672,-0.016285819932818413,-0.036941658705472946,-0.9999999403953552
20,0.021674713491757015,0,1.455103000012059,-0.030716560853355595,0.10469307431697156,0.9250705463101407,-0.11121261731152977,0.15077105542107694,0.8299791061707515,0.13283515135584745,0.008634494617581367,0.1181807741522789,-0.3880784213542938,0.0004381034232210368,-0.01850898005068302,-0.031910914927721024,-0.9999998807907104
